id,loss
4,144.87524
6,150.0664
9,309.2684
12,252.334
15,103.09006
17,159.66687
21,122.28059
28,124.61687
32,170.49138
43,203.16156
46,166.16414
50,117.40206
54,112.144325
62,137.64558
70,130.47348
71,206.01059
75,155.77065
77,164.71867
81,148.02888
83,165.55516
87,141.3734
97,159.71828
103,124.30677
119,116.02494
120,144.22678
127,118.02156
138,188.66277
141,135.8335
148,122.16473
150,175.88507
151,148.725
158,127.08871
160,306.26495
165,144.34395
168,212.76463
169,169.6912
177,170.94652
178,206.9324
184,148.44452
194,326.85495
198,127.24103
203,251.51378
211,156.40186
217,113.26364
219,131.07912
221,170.97725
227,134.84637
230,120.48984
235,133.73627
240,104.420555
243,161.55922
249,257.38657
253,186.46016
258,124.32716
261,128.82945
263,197.4641
264,164.20212
265,271.71066
268,122.23371
271,150.3314
274,274.14285
275,105.63329
279,147.33012
282,123.74771
286,192.84561
288,122.88281
294,166.117
296,108.00336
297,151.15953
300,103.60093
303,338.09988
314,122.88281
315,235.50854
321,151.20221
323,247.46935
330,201.59401
341,145.27086
342,217.61992
352,141.70424
353,216.79848
360,222.26526
361,144.34409
362,185.0272
366,106.63875
372,212.52798
376,182.54347
377,155.89742
379,127.375374
380,217.17354
387,121.98608
392,159.85945
394,355.36166
395,133.32323
397,126.111664
407,238.00064
411,218.87999
416,162.4087
417,141.10777
419,162.24895
428,235.09879
431,158.75208
436,257.4505
438,111.34995
445,293.28595
446,255.82953
455,127.273254
456,114.635376
461,105.66534
463,140.30466
464,212.01834
466,138.3091
467,149.34071
470,112.90161
475,137.43263
482,144.06107
490,176.4844
496,129.23462
497,240.13681
508,172.25072
510,114.74235
512,178.97017
513,171.42027
523,149.84496
531,255.24684
532,128.73311
533,138.85565
537,116.631996
544,235.26476
547,197.53915
556,290.3844
565,123.77291
566,112.79237
571,141.2556
573,156.22305
574,104.92386
581,151.40308
585,142.04161
589,162.89616
597,138.86711
601,156.23415
602,119.98267
613,125.971146
616,113.74675
619,149.88232
622,146.12727
623,164.21385
629,131.33739
634,126.92356
638,112.23024
642,112.14085
643,150.48639
645,118.82058
648,290.5301
652,127.908844
664,113.3476
666,158.83566
672,110.02277
676,121.43358
678,189.87419
682,126.46485
686,191.2687
688,177.06088
689,127.37847
690,131.1731
692,286.0418
695,127.08871
697,194.47456
698,151.81384
706,153.94705
708,127.77388
712,201.57574
715,196.18956
717,108.267715
725,197.49103
729,114.635376
737,115.56973
739,227.82666
747,212.82562
753,156.91333
758,177.3969
759,132.4034
763,120.598076
773,234.292
774,157.80121
776,144.34181
788,210.9505
790,147.02112
794,124.065346
801,163.21207
802,142.38853
805,116.05698
809,246.38351
812,131.03763
825,158.7975
828,132.42165
830,156.42685
833,113.14521
850,207.83
852,304.9092
862,118.67132
863,130.16881
864,145.45947
865,197.15146
868,253.54808
872,125.39575
879,276.69406
880,120.84053
883,114.40902
886,124.65021
923,145.47508
924,123.395355
932,126.498985
945,246.54652
947,276.71518
948,127.52311
955,173.42
963,228.51132
979,113.81923
989,119.36552
994,196.41777
995,128.64738
998,159.8622
1000,206.48521
1018,127.6376
1019,176.02737
1028,165.79872
1034,116.832825
1038,149.37817
1040,129.34732
1042,115.58869
1057,269.15265
1058,153.88628
1063,114.635376
1066,163.83852
1071,209.1614
1073,194.83089
1074,173.997
1077,201.51549
1080,342.56473
1088,113.7928
1096,109.166626
1097,339.69794
1105,267.62283
1115,132.09163
1116,164.66959
1122,158.111
1130,203.05542
1133,106.45235
1137,169.84718
1140,166.38416
1143,325.9418
1149,280.52823
1150,104.72392
1153,108.71987
1157,125.78897
1180,102.85256
1183,110.89622
1188,140.42299
1193,109.6023
1200,107.87314
1209,166.7981
1214,152.21635
1219,158.45554
1223,271.067
1227,105.22789
1228,133.238
1229,168.76926
1233,122.150566
1238,172.19241
1239,122.994774
1241,203.31091
1243,132.41805
1244,117.72743
1245,214.42223
1277,195.39273
1279,216.44934
1292,312.44595
1293,127.43406
1299,381.52493
1304,194.48337
1313,199.61653
1328,154.73636
1330,122.508026
1334,127.499825
1335,120.4359
1336,221.69865
1341,112.27054
1344,122.8083
1351,110.883896
1352,135.94814
1354,121.152664
1368,239.86284
1373,125.35677
1375,103.09006
1381,128.86037
1384,136.13599
1385,182.66502
1388,274.30396
1401,223.27483
1402,149.7119
1404,131.5099
1406,145.07552
1409,112.199524
1422,122.470406
1429,177.49284
1433,240.21172
1438,107.39034
1444,120.03486
1446,131.2764
1450,118.987434
1451,108.397736
1454,144.91725
1458,187.2277
1461,166.20685
1464,240.75296
1465,123.2263
1478,119.122894
1479,120.385376
1480,173.84448
1484,123.727715
1486,107.0157
1488,105.85334
1489,180.73485
1491,114.635376
1507,160.01823
1515,143.8246
1519,152.17339
1528,141.09984
1529,118.11519
1530,191.75069
1532,108.505875
1541,146.57823
1542,192.45676
1547,109.801605
1549,114.34963
1553,156.39925
1554,149.98091
1555,125.94682
1559,123.91895
1565,138.8193
1568,107.54808
1576,202.37183
1579,104.84134
1592,123.56605
1596,173.97676
1605,108.68551
1607,124.8605
1612,124.88812
1617,167.18422
1619,174.7129
1620,318.82465
1624,122.661575
1627,123.835434
1633,132.81131
1636,119.009056
1639,118.41769
1640,181.87897
1644,114.4732
1646,127.30366
1647,163.72862
1654,128.39575
1655,206.48482
1664,287.88263
1665,152.99738
1667,224.57256
1669,120.07035
1678,129.32455
1682,157.85388
1689,115.63743
1690,166.39534
1693,270.51654
1695,103.09006
1705,148.20299
1706,151.12321
1708,145.53107
1716,157.76794
1720,341.89484
1722,131.68341
1749,244.8237
1750,163.47478
1751,282.2874
1760,130.88126
1763,178.38629
1770,154.45499
1777,131.59541
1785,211.79291
1791,121.03862
1794,217.96523
1800,123.91895
1816,112.04998
1817,126.318756
1821,180.06818
1836,111.901436
1838,128.45258
1851,166.1113
1852,211.13205
1854,164.85594
1856,105.10588
1865,103.38488
1872,112.19091
1878,105.81544
1880,112.21536
1881,116.81773
1882,120.46445
1886,105.22789
1892,149.482
1894,166.79921
1898,154.6381
1899,169.66586
1902,115.04904
1903,234.73416
1906,162.64966
1910,168.13814
1911,140.72926
1914,201.44621
1929,211.77605
1932,127.60784
1952,114.635376
1959,109.68204
1960,117.24615
1976,191.81241
1980,192.81996
1981,122.88017
1987,137.9875
